Date,Portfolio_Value
2019-01-09,254154.30964232577
2019-01-10,254564.14216702827
2019-01-11,253328.62589886595
2019-01-14,255769.50259503027
2019-01-15,257184.6264056041
2019-01-16,258652.42332462882
2019-01-17,258403.77875877748
2019-01-18,259498.189012898
2019-01-21,258573.66809950632
2019-01-22,254998.01118143467
2019-01-23,258526.1137613671
2019-01-24,257757.46304395093
2019-01-25,256300.19393096547
2019-01-28,259938.24060996732
2019-01-29,257045.23289841812
2019-01-30,256026.6123062879
2019-01-31,249142.08126989368
2019-02-01,250864.21597926226
2019-02-04,250166.74752849675
2019-02-05,253868.09722983665
2019-02-06,254859.20879815178
2019-02-07,255509.1931666938
2019-02-08,257555.56251480378
2019-02-11,258202.90213374858
2019-02-12,254624.65348284383
2019-02-14,253292.10094690332
2019-02-15,250775.10374040704
2019-02-18,250073.1330887481
2019-02-19,255735.40631580458
2019-02-20,258335.5798861843
2019-02-21,258863.92156231977
2019-02-22,265890.6469600893
2019-02-25,260357.497434851
2019-02-26,258376.02157755196
2019-02-27,261815.55837565922
2019-02-28,264881.2273762731
2019-03-01,271610.7773229063
2019-03-05,273181.8212666592
2019-03-06,275053.51983671135
2019-03-07,276337.73616972315
2019-03-08,284406.9592309059
2019-03-11,290092.5115515304
2019-03-12,297515.252111876
2019-03-13,297274.71489861904
2019-03-14,302945.86487207114
2019-03-15,309455.61273854476
2019-03-18,315529.9129695117
2019-03-19,314320.9861805469
2019-03-20,313440.96978110267
2019-03-22,310129.89245916205
2019-03-25,318701.9622759668
2019-03-26,317974.11102402175
2019-03-27,323917.94614051614
2019-03-28,331503.80701865256
2019-04-01,330588.1775288391
2019-04-02,327138.83782417927
2019-04-03,321869.753128109
2019-04-04,327270.1238431782
2019-04-05,330857.1612067664
2019-04-08,334172.57157501613
2019-04-09,331690.4039056568
2019-04-10,328317.0438458337
2019-04-11,330549.4085211443
2019-04-12,346761.0066805887
2019-04-15,349222.9563174313
2019-04-16,345822.878737339
2019-04-18,342061.0771066381
2019-04-22,338533.008188884
2019-04-23,343727.1638281638
2019-04-24,338842.46272277506
2019-04-25,348954.6547512126
2019-04-26,354538.6217165539
2019-04-30,360405.703457826
2019-05-02,366100.36975107866
2019-05-03,370539.2785425706
2019-05-06,356873.75739518995
2019-05-07,357022.95822849474
2019-05-08,356275.64588852756
2019-05-09,359731.9361407119
2019-05-10,361162.161370896
2019-05-13,358226.43212504004
2019-05-14,359355.57806031423
2019-05-15,361645.14221391326
2019-05-16,368452.56649891264
2019-05-17,367689.0750363177
2019-05-20,361021.47744271904
2019-05-21,361183.15743536584
2019-05-22,359431.6794380121
2019-05-23,358372.9834518782
2019-05-24,357817.1283520786
2019-05-27,361393.5301706405
2019-05-28,361244.5787593046
2019-05-29,365839.05519177305
2019-05-30,367933.70154103474
2019-05-31,371374.8909895385
2019-06-03,368037.90468820086
2019-06-04,361421.29433342785
2019-06-06,358031.356376812
2019-06-07,357601.64335920743
2019-06-10,358803.27737797535
2019-06-11,359613.1479953476
2019-06-12,358290.45158171176
2019-06-13,355671.88837115583
2019-06-14,346156.12081826426
2019-06-17,345805.2691454751
2019-06-18,343880.2307699566
2019-06-19,355020.74983296887
2019-06-20,352890.92014090583
2019-06-21,351785.0984543693
2019-06-24,353349.1492279231
2019-06-25,359052.31779447285
2019-06-26,358237.5794278229
2019-06-27,358948.6008091713
2019-06-28,358605.2657336015
2019-07-01,361332.5389390133
2019-07-02,362477.12280625687
2019-07-03,362886.9459591009
2019-07-04,355073.41965970217
2019-07-05,357092.41292708187
2019-07-08,365092.4033394756
2019-07-09,366565.60493406985
2019-07-10,369389.1821399711
2019-07-11,367355.865653394
2019-07-12,366093.49929601216
2019-07-15,368087.4091428729
2019-07-16,368174.0736651341
2019-07-17,362929.35990162095
2019-07-18,357474.6839443559
